Feature,Importance
overdue_risk_score,0.30116587889815866
payment_delay,0.28422334008153705
days_overdue,0.2840300258458126
invoice_age,0.035327313357219274
payment_behavior_score,0.014462109250882841
average_payment_delay,0.01343886850013194
last_contact_days,0.00815888383881696
invoice_amount,0.0076579294546384015
previous_payments,0.007076198523712976
customer_value_score,0.00690454809903487
communication_effectiveness,0.006865163182845162
customer_lifetime_value,0.006790258355959912
payment_reliability_score,0.006323165437535977
late_payment_ratio,0.005774010344923381
previous_late_payments,0.00496659788954295
communication_count,0.0037236433042970325
payment_failures,0.0023372240530695905
discount_used,0.000774841581880327
